(1, '01', 'RailEasy', '', '', 0, 'TravelFusion2Provider', 'true'),
(2, '08', 'Air Southwest', '', '', 0, 'ERetailWebFareProvider', 'true'),
(3, '0A', 'Amber Air', '', '', 0, 'AmadeusProvider', 'true'),
(4, '0B', 'Blue Air', '', '', 0, 'TravelFusionProvider', 'true'),
(5, '0C', 'Catovair', '', '', 0, 'AmadeusProvider', 'false'),
(6, '0D', 'Darwin Airline', '', '', 0, 'AmadeusProvider', 'true'),
(7, '0G', 'Ghadames Air Transport', '', '', 0, 'AmadeusProvider', 'false'),
(8, '0K', 'Aircompany Kokshetau', '', '', 0, 'AmadeusProvider', 'false'),
(9, '0O', 'STA Travel', '', '', 0, 'AmadeusProvider', 'false'),
(10, '0P', 'Palau Asia Pacific Air', '', '', 0, 'AmadeusProvider', 'false'),
(11, '0V', 'Vietnam Air Service', '', '', 0, 'AmadeusProvider', 'false'),
(12, '0W', 'W Caribbean Costa Rica', '', '', 0, 'AmadeusProvider', 'false'),
(13, '0Y', 'Yeti Airlines', '', '', 0, 'AmadeusProvider', 'false'),
(14, '1A', 'Amadeus', '', '', 0, 'AmadeusProvider', 'false'),
(15, '1B', 'Abacus', '', '', 0, 'AmadeusProvider', 'false'),
(16, '1C', 'EDS Information Business', '', '', 0, 'AmadeusProvider', 'false'),
(17, '1D', 'Raddix Solutions Intl', '', '', 0, 'AmadeusProvider', 'false'),
(18, '1E', 'Travelsky Technology Ltd', '', '', 0, 'AmadeusProvider', 'false'),
(19, '1F', 'Infini Travel Informatio', '', '', 0, 'AmadeusProvider', 'false'),
(20, '1G', 'Galileo International', '', '', 0, 'AmadeusProvider', 'false'),
(21, '1H', 'Sirena-Travel', '', '', 0, 'AmadeusProvider', 'false'),
(22, '1J', 'Axess International', '', '', 0, 'AmadeusProvider', 'false'),
(23, '1K', 'Sutra Inc.', '', '', 0, 'AmadeusProvider', 'false'),
(24, '1L', 'Navitaire Open Skies', '', '', 0, 'AmadeusProvider', 'false'),
(25, '1M', 'Sirena Jsc', '', '', 0, 'AmadeusProvider', 'false'),
(26, '1N', 'Navitaire New Skies', '', '', 0, 'AmadeusProvider', 'false'),
(27, '1O', 'Phoenix Systems Dertours', '', '', 0, 'AmadeusProvider', 'false'),
(28, '1P', 'Worldspan', '', '', 0, 'AmadeusProvider', 'false'),
